Sensor,Vertical Position,Horizontal Position,X,Y,Z
7,5,-1,-2918,-7613,-28219
7,5,1,-2976,2334,-29792
7,5,2,-2930,9171,-26693
7,6,-2,-5762,-11896,-21892
7,6,-1,-6165,-7047,-26268
7,6,1,-6285,2175,-27772
7,6,2,-6023,8598,-24736
7,7,-2,-9161,-8478,-20540
7,7,-1,-9560,-6078,-22229
7,7,1,-9774,1931,-23598
7,7,2,-9319,6487,-21758
7,8,-2,-11832,-4300,-15926
7,8,-1,-11967,-3397,-16042
7,8,1,-12065,1495,-16612
7,8,2,-11937,2813,-16532
9,0,-2,12518,-11439,-13451
9,0,-1,14978,-7074,-17574
9,0,1,15806,-69,-19051
9,0,2,14771,5272,-17153
9,1,-2,10323,-15029,-20293
9,1,-1,12213,-9371,-26518
9,1,1,12942,426,-28660
9,1,2,12135,7701,-25749
9,2,-2,6603,-17154,-24195
9,2,-1,7660,-10905,-31211
9,2,1,8145,594,-32752
9,2,2,7690,9058,-30532
9,3,-2,3170,-18021,-25710
9,3,-1,3708,-11514,-32559
9,3,1,4022,681,-32768
9,3,2,3812,9597,-32242
9,4,-2,225,-18118,-26031
9,4,-1,414,-11659,-32671
9,4,1,570,747,-32768
9,4,2,506,9727,-32372
9,5,-2,-2675,-17634,-25547
9,5,-1,-2779,-11360,-32338
9,5,1,-2740,625,-32768
9,5,2,-2674,9627,-31741
9,6,-2,-5902,-16453,-23992
9,6,-1,-6438,-10769,-30454
9,6,1,-6607,421,-32717
9,6,2,-6337,8997,-29744
9,7,-2,-9842,-12578,-23279
9,7,-1,-10461,-9573,-25905
9,7,1,-10946,218,-28545
9,7,2,-10539,5757,-26832
9,8,-2,-13261,-7606,-18437
9,8,-1,-13551,-6381,-18657
9,8,1,-14072,-239,-19924
9,8,2,-13986,1167,-20107
11,0,-2,-11035,9835,13030
11,0,-1,-13060,6261,16797
11,0,1,-14099,-526,18899
11,0,2,-13305,-6123,17429
11,1,-2,-8795,12788,18794
11,1,-1,-10313,8470,24137
11,1,1,-11095,-1400,27052
11,1,2,-10470,-8020,24996
11,2,-2,-5566,14574,21994
11,2,-1,-6455,9897,27952
11,2,1,-6941,-1278,30692
11,2,2,-6542,-9117,29013
11,3,-2,-2609,15380,23272
11,3,-1,-3104,10508,29427
11,3,1,-3387,-1215,31529
11,3,2,-3158,-9535,30285
11,4,-2,83,15561,23565
11,4,-1,-149,10746,29718
11,4,1,-304,-1261,31744
11,4,2,-191,-9650,30501
11,5,-2,2808,15205,23077
11,5,-1,2852,10541,29216
11,5,1,2860,-1077,31515
11,5,2,2866,-9537,30221
11,6,-2,5956,14104,21443
11,6,-1,6418,9952,27303
11,6,1,6689,-794,30535
11,6,2,6531,-8913,28589
11,7,-2,9699,10590,20300
11,7,-1,10251,8611,22695
11,7,1,10988,-747,26207
11,7,2,10745,-5781,25059
11,8,-2,12630,6006,15399
11,8,-1,12952,5156,15794
11,8,1,13670,-482,17360
11,8,2,13720,-1569,17620
12,0,-2,-10184,9147,12544
12,0,-1,-11850,5419,16282
12,0,1,-12382,-425,17849
12,0,2,-11839,-4286,17034
12,1,-2,-7935,11665,17350
12,1,-1,-9194,7150,22422
12,1,1,-9583,-516,24316
12,1,2,-9130,-5382,23047
12,2,-2,-4842,13171,20023
12,2,-1,-5551,8263,25673
12,2,1,-5819,-556,27862
12,2,2,-5527,-6011,26376
12,3,-2,-1949,13795,21060
12,3,-1,-2289,8706,26871
12,3,1,-2441,-574,29218
12,3,2,-2278,-6246,27647
12,4,-2,758,13817,21089
12,4,-1,702,8770,26899
12,4,1,648,-564,29288
12,4,2,725,-6239,27720
12,5,-2,3453,13291,20272
12,5,-1,3704,8393,25990
12,5,1,3769,-551,28295
12,5,2,3774,-6018,26776
12,6,-2,6302,12080,18269
12,6,-1,6988,7680,23603
12,6,1,7215,-497,25812
12,6,2,7121,-5528,24328
12,7,-2,9186,9392,16051
12,7,-1,10046,6448,19008
12,7,1,10494,-471,20938
12,7,2,10338,-3192,20456
12,8,-2,11306,5358,12250
12,8,-1,11586,4326,12657
12,8,1,12068,307,13827
12,8,2,12086,-447,14011
14,0,-2,-10623,9794,13385
14,0,-1,-12246,6252,16575
14,0,1,-12787,186,17757
14,0,2,-12058,-3937,16370
14,1,-2,-8664,12322,18752
14,1,-1,-9899,7936,23164
14,1,1,-10345,-199,24766
14,1,2,-9757,-5559,22768
14,2,-2,-5598,13899,21975
14,2,-1,-6331,9039,26702
14,2,1,-6659,-426,27665
14,2,2,-6290,-6555,26471
14,3,-2,-2659,14582,23333
14,3,-1,-3037,9480,27463
14,3,1,-3239,-554,28481
14,3,2,-3045,-6990,27280
14,4,-2,57,14667,23600
14,4,-1,-62,9557,27586
14,4,1,-166,-656,28620
14,4,2,-90,-7140,27400
14,5,-2,2767,14249,22968
14,5,-1,2905,9261,27253
14,5,1,2907,-670,28262
14,5,2,2874,-7040,27022
14,6,-2,5704,13219,21150
14,6,-1,6206,8661,25923
14,6,1,6345,-560,27198
14,6,2,6148,-6503,25520
14,7,-2,8806,10488,19077
14,7,-1,9474,7608,21643
14,7,1,9832,-376,23452
14,7,2,9616,-3556,22555
14,8,-2,11253,6590,14920
14,8,-1,11472,5609,15169
14,8,1,11958,554,16343
14,8,2,11921,-315,16521
16,0,-2,10427,-9403,-12823
16,0,-1,12194,-5893,-16221
16,0,1,12935,39,-17820
16,0,2,12332,4551,-16783
16,1,-2,8378,-11978,-18116
16,1,-1,9712,-7684,-22883
16,1,1,10319,237,-25049
16,1,2,9823,6009,-23515
16,2,-2,5275,-13551,-21129
16,2,-1,6043,-8829,-26474
16,2,1,6442,340,-29034
16,2,2,6128,6879,-27193
16,3,-2,2378,-14223,-22291
16,3,-1,2770,-9288,-27806
16,3,1,2995,254,-30494
16,3,2,2834,7240,-28546
16,4,-2,-274,-14283,-22390
16,4,-1,-158,-9369,-27895
16,4,1,-58,306,-30619
16,4,2,-122,7335,-28615
16,5,-2,-2888,-13840,-21675
16,5,-1,-3051,-9062,-27115
16,5,1,-3076,287,-29778
16,5,2,-3055,7197,-27713
16,6,-2,-5641,-12802,-19853
16,6,-1,-6195,-8431,-25033
16,6,1,-6418,176,-27551
16,6,2,-6269,6636,-25538
16,7,-2,-8692,-9896,-18315
16,7,-1,-9319,-7372,-20785
16,7,1,-9813,75,-23073
16,7,2,-9720,3334,-22473
16,8,-2,-11030,-5990,-14284
16,8,-1,-11226,-5254,-14592
16,8,1,-11816,-623,-15979
16,8,2,-11872,120,-16147
17,0,-2,-11688,9046,13115
17,0,-1,-13424,5153,16613
17,0,1,-13815,-1392,17924
17,0,2,-12774,-6010,16468
17,1,-2,-9413,12173,19142
17,1,-1,-10735,7267,24019
17,1,1,-11084,-1614,25686
17,1,2,-10266,-7613,23428
17,2,-2,-5886,14019,22482
17,2,-1,-6657,8636,27984
17,2,1,-6940,-1743,30047
17,2,2,-6437,-8587,27334
17,3,-2,-2697,14910,23712
17,3,-1,-3084,9216,29478
17,3,1,-3267,-1841,31307
17,3,2,-3022,-9046,28839
17,4,-2,170,15098,23825
17,4,-1,53,9354,29680
17,4,1,-64,-1932,31433
17,4,2,32,-9201,29005
17,5,-2,2985,14735,23106
17,5,-1,3133,9081,29010
17,5,1,3105,-2002,31054
17,5,2,3056,-9106,28182
17,6,-2,6025,13694,21269
17,6,-1,6605,8476,26943
17,6,1,6694,-1933,29069
17,6,2,6425,-8465,26149
17,7,-2,9677,10062,20391
17,7,-1,10215,7276,22631
17,7,1,10479,-1705,24547
17,7,2,10157,-5177,23421
17,8,-2,12464,5526,15875
17,8,-1,12594,4414,16057
17,8,1,12838,-893,17115
17,8,2,12732,-1756,17271
19,0,-2,12284,-8394,-13483
19,0,-1,14000,-4541,-16848
19,0,1,14299,1887,-17849
19,0,2,13142,6245,-16058
19,1,-2,10169,-11097,-19223
19,1,-1,11475,-6263,-23866
19,1,1,11746,2405,-25189
19,1,2,10782,8073,-22550
19,2,-2,6746,-12772,-22618
19,2,-1,7473,-7405,-27818
19,2,1,7635,2725,-29394
19,2,2,7022,9187,-26310
19,3,-2,3490,-13499,-24040
19,3,-1,3824,-7843,-29378
19,3,1,3884,2899,-31032
19,3,2,3541,9655,-27799
19,4,-2,512,-13605,-24323
19,4,-1,582,-7923,-29629
19,4,1,584,2953,-31276
19,4,2,422,9748,-27994
19,5,-2,-2424,-13183,-23783
19,5,-1,-2614,-7629,-28967
19,5,1,-2668,2887,-30522
19,5,2,-2655,9460,-27263
19,6,-2,-5626,-12125,-22153
19,6,-1,-6153,-7088,-26953
19,6,1,-6291,2641,-28404
19,6,2,-6017,8705,-25291
19,7,-2,-9224,-8887,-20677
19,7,-1,-9751,-6155,-22701
19,7,1,-9983,2255,-24044
19,7,2,-9612,5668,-22737
19,8,-2,-11935,-4884,-16226
19,8,-1,-12103,-3896,-16301
19,8,1,-12300,1281,-17072
19,8,2,-12242,2160,-17255
21,0,-2,12088,-10030,-12813
21,0,-1,14329,-6381,-16696
21,0,1,15225,225,-18334
21,0,2,14322,5121,-16846
21,1,-2,10259,-13397,-18813
21,1,-1,12025,-8752,-24483
21,1,1,12829,412,-26866
21,1,2,12091,6973,-24627
21,2,-2,7008,-15609,-22545
21,2,-1,8078,-10390,-29023
21,2,1,8651,588,-30893
21,2,2,8192,8200,-29378
21,3,-2,3891,-16697,-24271
21,3,-1,4503,-11189,-30380
21,3,1,4860,631,-32026
21,3,2,4593,8783,-30632
21,4,-2,1039,-17062,-24946
21,4,-1,1319,-11510,-30732
21,4,1,1519,614,-32448
21,4,2,1369,9066,-31011
21,5,-2,-1854,-16816,-24847
21,5,-1,-1890,-11362,-30658
21,5,1,-1854,588,-32385
21,5,2,-1888,9134,-30884
21,6,-2,-5209,-15804,-23643
21,6,-1,-5696,-10788,-29896
21,6,1,-5894,489,-31592
21,6,2,-5726,8701,-30086
21,7,-2,-9320,-12187,-23217
21,7,-1,-9982,-9503,-25909
21,7,1,-10577,339,-29112
21,7,2,-10242,5579,-27784
21,8,-2,-12935,-7366,-18767
21,8,-1,-13332,-6079,-18992
21,8,1,-13960,157,-20627
21,8,2,-13948,1372,-20900
23,0,-2,-11046,10160,12719
23,0,-1,-13323,6547,16950
23,0,1,-14498,457,19157
23,0,2,-13978,-4786,18223
23,1,-2,-8862,13028,17859
23,1,-1,-10606,8695,23641
23,1,1,-11520,603,26627
23,1,2,-11137,-6132,25409
23,2,-2,-5738,14913,20897
23,2,-1,-6845,10184,27428
23,2,1,-7482,690,30729
23,2,2,-7235,-6979,29603
23,3,-2,-2727,15916,22296
23,3,-1,-3417,10938,29177
23,3,1,-3841,857,31770
23,3,2,-3685,-7380,30992
23,4,-2,127,16295,22736
23,4,-1,-236,11310,29767
23,4,1,-496,884,32158
23,4,2,-378,-7601,31356
23,5,-2,3130,16058,22364
23,5,-1,3142,11207,29497
23,5,1,3084,896,32048
23,5,2,3132,-7648,31207
23,6,-2,6601,15003,20717
23,6,-1,7222,10635,27656
23,6,1,7491,885,31084
23,6,2,7434,-7225,30052
23,7,-2,10542,11775,19341
23,7,-1,11526,9186,22785
23,7,1,12356,827,26553
23,7,2,12255,-3884,26149
23,8,-2,13572,7090,14687
23,8,-1,14002,6230,15085
23,8,1,15075,939,17283
23,8,2,15187,11,17693
24,0,-2,-10931,8879,13150
24,0,-1,-12585,4730,16769
24,0,1,-12913,-1474,17832
24,0,2,-11924,-6269,15943
24,1,-2,-8395,11338,18306
24,1,-1,-9592,6296,23120
24,1,1,-9899,-1858,24414
24,1,2,-9169,-7846,21780
24,2,-2,-4966,12729,21116
24,2,-1,-5630,7256,26382
24,2,1,-5870,-2053,27923
24,2,2,-5484,-8765,24935
24,3,-2,-1866,13238,22139
24,3,-1,-2165,7567,27515
24,3,1,-2319,-2132,29130
24,3,2,-2163,-9098,26057
24,4,-2,973,13165,22108
24,4,-1,947,7559,27432
24,4,1,859,-2123,29070
24,4,2,857,-9098,25981
24,5,-2,3809,12586,21219
24,5,-1,4041,7164,26424
24,5,1,4027,-2056,27983
24,5,2,3863,-8827,24896
24,6,-2,6787,11368,19183
24,6,-1,7410,6499,23971
24,6,1,7501,-1879,25429
24,6,2,7078,-8096,22505
24,7,-2,10024,8007,17424
24,7,-1,10565,5430,19321
24,7,1,10768,-1645,20599
24,7,2,10379,-5164,19427
24,8,-2,12041,4015,12960
24,8,-1,12136,3198,12990
24,8,1,12319,-1272,13664
24,8,2,12285,-1864,13793
26,0,-2,-11411,7596,13197
26,0,-1,-12906,3809,15814
26,0,1,-13189,-1821,16327
26,0,2,-12245,-5712,14644
26,1,-2,-9473,9782,18901
26,1,-1,-10635,5034,22565
26,1,1,-10885,-2552,23198
26,1,2,-10091,-7539,20824
26,2,-2,-6257,11198,22476
26,2,-1,-6962,5890,26603
26,2,1,-7142,-3018,27311
26,2,2,-6624,-8731,24632
26,3,-2,-3079,11844,24091
26,3,-1,-3456,6256,28376
26,3,1,-3559,-3273,29217
26,3,2,-3263,-9260,26299
26,4,-2,-95,11973,24507
26,4,-1,-249,6359,28795
26,4,1,-313,-3339,29664
26,4,2,-169,-9445,26665
26,5,-2,2857,11675,23993
26,5,-1,2940,6144,28274
26,5,1,2929,-3285,29086
26,5,2,2929,-9334,26014
26,6,-2,6088,10857,22249
26,6,-1,6497,5749,26321
26,6,1,6577,-3039,27119
26,6,2,6362,-8697,24123
26,7,-2,9394,8649,19624
26,7,-1,10103,5070,22112
26,7,1,10261,-2583,22911
26,7,2,10008,-5569,21740
26,8,-2,12091,4832,15207
26,8,-1,12382,3607,15542
26,8,1,12650,-1270,16228
26,8,2,12590,-2131,16294
28,0,-2,10533,-7521,-12385
28,0,-1,12311,-4233,-15541
28,0,1,13006,1217,-16916
28,0,2,12414,5281,-16034
28,1,-2,8732,-10025,-17578
28,1,-1,10120,-5949,-22128
28,1,1,10728,1449,-24087
28,1,2,10187,6707,-22701
28,2,-2,5735,-11605,-20662
28,2,-1,6540,-7116,-25814
28,2,1,6944,1511,-28191
28,2,2,6602,7502,-26525
28,3,-2,2867,-12295,-21862
28,3,-1,3257,-7611,-27180
28,3,1,3488,1478,-29258
28,3,2,3310,7733,-27970
28,4,-2,299,-12384,-21972
28,4,-1,396,-7745,-27244
28,4,1,508,1382,-29324
28,4,2,422,7655,-28138
28,5,-2,-2165,-11969,-21298
28,5,-1,-2344,-7511,-26471
28,5,1,-2369,1297,-28923
28,5,2,-2372,7369,-27384
28,6,-2,-4740,-11017,-19675
28,6,-1,-5270,-6996,-24519
28,6,1,-5483,1110,-27045
28,6,2,-5405,6741,-25476
28,7,-2,-7523,-8473,-18366
28,7,-1,-8167,-6065,-20773
28,7,1,-8659,964,-23080
28,7,2,-8636,3773,-22654
28,8,-2,-9846,-4962,-15063
28,8,-1,-10108,-4078,-15358
28,8,1,-10713,99,-16759
28,8,2,-10794,867,-16967
29,0,-2,-12186,8590,13890
29,0,-1,-13850,3978,17059
29,0,1,-13793,-2633,17441
29,0,2,-12533,-6741,15633
29,1,-2,-10122,11557,20603
29,1,-1,-11407,5633,25096
29,1,1,-11390,-3405,25407
29,1,2,-10283,-8872,22453
29,2,-2,-6557,13435,24518
29,2,-1,-7329,6786,29654
29,2,1,-7360,-3915,30118
