Sensor,Vertical Position,Horizontal Position,X,Y,Z
13,5,-1,6676,-6893,17929
13,5,1,7084,1350,20167
13,5,2,6685,6287,18289
13,6,-2,8643,-6387,13169
13,6,-1,8978,-5379,13596
13,6,1,9541,1038,15399
13,6,2,9134,4150,14762
15,0,-2,7179,5796,-14839
15,0,-1,7640,3939,-16281
15,0,1,8037,-3228,-17538
15,0,2,7526,-7346,-15567
15,1,-2,4824,7026,-17816
15,1,-1,5117,4920,-19581
15,1,1,5372,-3359,-21295
15,1,2,5039,-8523,-18815
15,2,-2,2023,7778,-19436
15,2,-1,2164,5449,-21464
15,2,1,2262,-3527,-23316
15,2,2,2130,-9217,-20620
15,3,-2,-727,8042,-19880
15,3,-1,-751,5669,-21983
15,3,1,-802,-3589,-23911
15,3,2,-752,-9462,-21147
15,4,-2,-3672,7771,-19248
15,4,-1,-3842,5531,-21284
15,4,1,-4063,-3605,-23184
15,4,2,-3796,-9261,-20473
15,5,-2,-6610,6938,-17122
15,5,-1,-6964,4972,-18924
15,5,1,-7379,-3366,-20709
15,5,2,-6865,-8510,-18240
15,6,-2,-9038,4928,-13982
15,6,-1,-9475,3671,-14694
15,6,1,-10022,-2911,-15965
15,6,2,-9509,-6076,-15044
18,0,-2,-6700,-7291,14004
18,0,-1,-7198,-4996,15755
18,0,1,-7477,1856,16634
18,0,2,-7078,5314,15056
18,1,-2,-4429,-8480,16947
18,1,-1,-4737,-5865,19057
18,1,1,-4924,2070,20311
18,1,2,-4662,6433,18289
18,2,-2,-1748,-9203,18553
18,2,-1,-1891,-6302,20909
18,2,1,-1992,2361,22233
18,2,2,-1840,7080,20061
18,3,-2,911,-9438,18974
18,3,-1,962,-6434,21420
18,3,1,1002,2526,22756
18,3,2,950,7291,20520
18,4,-2,3695,-9154,18348
18,4,-1,3919,-6274,20700
18,4,1,4073,2586,21948
18,4,2,3855,7082,19799
18,5,-2,6430,-8370,16257
18,5,-1,6888,-5796,18349
18,5,1,7153,2314,19507
18,5,2,6749,6348,17536
18,6,-2,8691,-6393,13251
18,6,-1,9159,-4858,14070
18,6,1,9543,1748,14967
18,6,2,9160,4022,14317
20,0,-2,-6937,-6976,14970
20,0,-1,-7409,-4969,16795
20,0,1,-7810,1794,18340
20,0,2,-7450,5736,16953
20,1,-2,-4806,-8261,17886
20,1,-1,-5079,-5922,20085
20,1,1,-5313,1884,22065
20,1,2,-5069,6762,20274
20,2,-2,-2266,-9054,19496
20,2,-1,-2357,-6464,21917
20,2,1,-2429,2051,24061
20,2,2,-2318,7362,22088
20,3,-2,266,-9312,19942
20,3,-1,340,-6675,22421
20,3,1,434,2168,24617
20,3,2,420,7553,22596
20,4,-2,2920,-9056,19282
20,4,-1,3177,-6529,21673
20,4,1,3440,2255,23814
20,4,2,3293,7342,21839
20,5,-2,5548,-8212,17189
20,5,-1,6010,-5959,19329
20,5,1,6465,2092,21262
20,5,2,6159,6628,19486
20,6,-2,7800,-6055,14370
20,6,-1,8239,-4791,15050
20,6,1,8840,1693,16484
20,6,2,8536,4204,15958
22,0,-2,-5898,-5695,13194
22,0,-1,-6361,-3600,15063
22,0,1,-6678,2962,16240
22,0,2,-6385,6039,15066
22,1,-2,-3852,-6856,15850
22,1,-1,-4124,-4460,18044
22,1,1,-4321,3067,19630
22,1,2,-4116,6943,18140
22,2,-2,-1395,-7584,17329
22,2,-1,-1483,-4917,19737
22,2,1,-1550,3299,21416
